Business Name,Barangay,Business Type,Line of Business,Business Address,Application Status,Last Renewal Date,Business Size
Mataasnakahoy Premier Bakery,Barangay I,Sole Proprietorship,Bakeshop & Pastries,"V. Templo St., Poblacion",Active,2026-01-15,Micro
Batangas Brew Coffee & Cafe,Barangay II,Partnership,Coffee Shop & Restaurant,"G. Recinto Ave., Poblacion",Active,2026-01-20,Small
Kahoy General Merchandise,Barangay III,Sole Proprietorship,Wholesale & Retail Goods,Poblacion III,Active,2026-02-05,Medium
Seven Eleven Convenience Store,Barangay IV,Corporation,Convenience Store,"National Road, Poblacion IV",Active,2026-01-10,Medium
Taal View Agri-Supply,Barangay Calingatan,Sole Proprietorship,Agricultural Feeds & Fertilizers,Calingatan Highway,Active,2026-01-28,Small
San Sebastian Auto Repair Shop,Barangay San Sebastian,Sole Proprietorship,Motorcycle & Auto Repair Services,San Sebastian Proper,Pending,2026-02-14,Micro
Bayorbor Water Refilling Station,Barangay Bayorbor,Sole Proprietorship,Purified Drinking Water Services,Bayorbor Main Road,Active,2026-01-18,Micro
Lumanglipa Hardware & Construction,Barangay Lumanglipa,Sole Proprietorship,Hardware & Construction Materials,Lumanglipa Crossing,Expired,2025-05-12,Small
Nangkaan Rice & Feed Mill,Barangay Nangkaan,Sole Proprietorship,Rice Milling & Feed Supply,Nangkaan Central,Active,2026-02-01,Medium
Loob Computer & Printing Hub,Barangay Loob,Sole Proprietorship,Internet Cafe & Printing Services,Loob Proper,Closed,2025-08-20,Micro
Santol Night Lounge & Billiards,Barangay Santol,Sole Proprietorship,Entertainment & Bar Lounge,Santol Road,Revoked,2026-01-08,Small
Manggahan Fresh Meat & Poultry,Barangay Manggahan,Sole Proprietorship,Meat Shop & Poultry Supply,Manggahan Market Road,Active,2026-02-10,Micro
